,Zip,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29
30,85051,Other,Shopping,Bar,Mexican,Home Services,Beauty & Spas,Pizza,Event Planning & Services,Automotive,Chinese,Health & Medical,Breakfast,Arts & Entertainment,Apartments,Active Life,Adult Entertainment,,,,,,,,,,,,,
31,85008,Mexican,Automotive,Other,Event Planning & Services,Bar,Beauty & Spas,Auto Repair,Apartments,Coffee,Burger,Breakfast,Active Life,Auto Parts & Supplies,Acupuncture,Adult Entertainment,,,,,,,,,,,,,,
32,85001,Home Services,Event Photography,Local Services,Arts & Entertainment,Active Life,,,,,,,,,,,,,,,,,,,,,,,,
33,85009,Mexican,Home Services,Local Services,Automotive,Burger,Auto Repair,Other,Auto Parts & Supplies,Auto Glass Services,Active Life,Apartments,,,,,,,,,,,,,,,,,,
34,85007,Mexican,Bar,Arts & Entertainment,Other,Home Services,Beauty & Spas,Art Galleries,Active Life,Amateur Sports Teams,,,,,,,,,,,,,,,,,,,,
35,85037,Health & Medical,Mexican,Automotive,Barbers,Burger,Bar,Apartments,Active Life,,,,,,,,,,,,,,,,,,,,,
36,85019,Mexican,Automotive,Pizza,Flooring,Auto Parts & Supplies,Active Life,Auction Houses,,,,,,,,,,,,,,,,,,,,,,
37,85339,Home Services,Beauty & Spas,Other,Active Life,,,,,,,,,,,,,,,,,,,,,,,,,
38,85310,Active Life,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,85035,Mexican,Other,Automotive,Chinese,Bar,Pizza,Event Planning & Services,Active Life,Churches,,,,,,,,,,,,,,,,,,,,
40,85260,Contractors,Active Life,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,85043,Home Services,Automotive,Mexican,Hotels & Travel,Sandwiches,Other,FastFood,Diner,Beauty & Spas,Active Life,,,,,,,,,,,,,,,,,,,
42,85014,Bar,Automotive,Health & Medical,Shopping,Mexican,Auto Repair,Other,Home Services,Burger,Professional Services,Real Estate,Apartments,Chinese,Italian,Ice Cream,Antiques,Active Life,Appliances,,,,,,,,,,,
43,85017,Home Services,Mexican,Shopping,Automotive,Local Services,Auto Repair,Bar,Other,Sandwiches,Coffee,Adult Entertainment,Apartments,Active Life,Advertising,,,,,,,,,,,,,,,
44,85031,Mexican,Burger,Chinese,Shopping,Automotive,Pizza,Auto Parts & Supplies,Adult,,,,,,,,,,,,,,,,,,,,,
45,85045,Home Services,Local Services,Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,
46,85201,Air Duct Cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,85041,Mexican,Automotive,Beauty & Spas,Home Services,Auto Repair,Bar,Auto Glass Services,Bakery,Airport Shuttles,,,,,,,,,,,,,,,,,,,,
48,85073,Other,Parks,Pizza,Arts & Entertainment,Automotive,Airports,,,,,,,,,,,,,,,,,,,,,,,
49,85303,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,85304,Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,85030,Arts & Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,85076,Pets,Auto Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,85257,Auto Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,85087,Auto Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,85308,Bar,Auto Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,85083,Home Services,Automotive,Auto Repair,,,,,,,,,,,,,,,,,,,,,,,,,,
57,85363,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,85251,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,85331,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,85254,Home Services,Fashion,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,
61,85392,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,85283,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,85301,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,85068,Pets,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,85058,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,85210,Building Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,85203,Carpet Cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,85302,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,85281,Contractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,85061,Contractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,85297,Contractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,85072,Cosmetics & Beauty Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,85286,Dance Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,88031,Department Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,85064,Do-It-Yourself Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,85209,Doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,85046,Dog Walkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,85226,Event Planning & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,85082,Home Services,Event Planning & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,85066,Event Planning & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,85060,Fences & Gates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,85067,Festivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,85207,Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85069,Fitness & Instruction,Pool Cleaners,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85080,Health & Medical,Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,85005,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,85036,FastFood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,85326,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,85234,FastFood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,85355,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,85038,Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,85374,Furniture Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,85224,Hair Salons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,85255,Health & Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,85250,Health Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,85306,Home & Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
