ZIP_CODE,labels
85003,0
85004,-1
85006,0
85007,0
85008,-1
85009,0
85012,0
85013,0
85014,-1
85015,0
85016,-1
85017,0
85018,-1
85019,0
85020,-1
85021,0
85022,-1
85023,0
85024,0
85027,-1
85028,-1
85029,-1
85031,0
85032,-1
85033,0
85034,-1
85035,0
85037,0
85040,0
85041,0
85042,0
85043,0
85044,-1
85045,0
85048,0
85050,0
85051,0
85053,0
85054,0
85083,0
85085,0
85086,0
