Unnamed: 0,business_id,Shortlisted?,ProjectCategory,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,label,PARKING,BikeParking,HairSpecializesIn_coloring,CONSUMER_SERVICE,NoiseLevel,Alcohol,Ambience_romantic,HappyHour,RECOMMENDATION,DogsAllowed,SPECIAL_FOOD,AgesAllowed,Unnamed: 0.1,weekday,weekend,averghour,if_Chain,polarity
2811,vYeSTLvRuTuWoZV6tmvAxw,Yes,Breakfast,"""Wy-Knot Cafe""",,"""2325 N 7th St""",Phoenix,AZ,85006,33.474229,-112.064787,4.0,190,0,Restaurants;Breakfast & Brunch;Cafes,0,1,0,0,1,0,0,0,0,0,0,0.0,0,2194,30.0,14.0,6.285714286,0,0.3004311386460806
2812,CzGHuG34OdBugbMLAqi9Sg,Yes,Japanese,"""Samurai Sam's""",,"""550 W Bell Rd, Ste 102""",Phoenix,AZ,85023,33.640729799999995,-112.0810868,3.0,28,1,Restaurants;Japanese,0,0,0,0,1,0,0,0,0,0,0,0.0,0,3539,55.0,19.0,10.57142857,0,0.1662420062529564
2813,a_ai1uMhAqQSYaO_QNmnSw,Yes,Mexican,"""Macayo's Mexican Table""",,"""7829 W Thomas Rd""",Phoenix,AZ,85033,33.479524,-112.227821,3.5,70,1,Mexican;Restaurants,0,1,1,0,0,0,0,0,0,0,0,0.0,0,4063,55.0,22.0,11.0,0,0.19947663900499912
2814,m4yD7dvz998cXM51GbRL_Q,Yes,Diner,"""Mel's Diner""",,"""1747 Grand Ave""",Phoenix,AZ,85007,33.4633874,-112.0975957,3.5,83,1,Food;Coffee & Tea;Restaurants;Diners;American (Traditional),0,1,0,0,0,0,0,0,0,2,0,0.0,0,3991,42.5,14.0,8.071428571,0,0.20816640226558664
2815,Bs8AvNO3xWoURWpqiGd_4w,Yes,Italian,"""Romano's Macaroni Grill""",,"""2949 W Agua Fria Fwy""",Phoenix,AZ,85027,33.6676414,-112.1222972,2.5,137,1,Italian;Restaurants,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2960,56.0,23.0,11.28571429,1,0.14314199307803252
2816,du9_QFb75sxzKnLLQwSkMw,Yes,Burger,"""Five Guys""",,"""425 E Bell Rd""",Phoenix,AZ,85022,33.6398926,-112.0676247,3.5,140,1,Restaurants;Burgers;American (New);Fast Food,-1,1,0,0,0,0,0,0,0,0,0,0.0,0,3310,60.0,24.0,12.0,1,0.25617871168901946
2817,NxK9QTPyjeG2vjs2yODh7Q,Yes,Coffee,"""Peets Coffee Shop""",,"""3300 Camelback Rd""",Phoenix,AZ,85017,33.5126256,-112.1272489,3.0,4,0,Coffee & Tea;Food,0,0,0,0,0,0,1,0,0,0,0,0.0,0,1439,0.0,0.0,0.0,0,0.1876732428467117
2818,kCKQqLTxm-997NUeG7i4cg,Yes,Other,"""Fresh & Easy Neighborhood Market""",,"""3131 E Greenway Rd""",Phoenix,AZ,85032,33.625497,-112.014389,4.0,18,0,Food;Grocery,-1,0,1,0,0,0,0,0,0,0,0,0.0,0,156,70.0,28.0,14.0,1,0.19843241090231087
2819,rntzNd_3Cnr_-hIhxZGXXg,Yes,Mexican,"""Rock-n-Taco""",,"""4310 E McDowell Rd""",Phoenix,AZ,85008,33.4656925,-111.9893269,3.0,7,0,Restaurants;Mexican,-1,1,0,0,1,0,0,0,0,0,0,0.0,0,2869,0.0,0.0,0.0,1,0.1748380909929194
2820,ZCe93zAkxr2KOBU1NT0lmg,Yes,Mexican,"""Valle Luna""",,"""3336 W Bell Rd""",Phoenix,AZ,85053,33.64096358,-112.1315316,3.5,352,1,Mexican;Nightlife;Restaurants,0,1,1,0,0,0,0,0,0,0,0,0.0,0,3804,56.0,24.0,11.42857143,0,0.26102649674848805
